Species3;Family3;Order3;Clade;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;Species.Status
Tilmatura dupontii;Trochilidae;Apodiformes;Bees;5;2;3;0;4;15,2;12,2;1,4;1,5;4,2;36;23,9;11,6;67,4;35,2;2,2;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Nectarivore;Aerial;12,65;25,88;17,48;-95,81070451;299191,54;Extant
Topaza pella;Trochilidae;Apodiformes;Topazes;8;3;5;0;8;30,3;21,3;2,8;3,1;5,8;75,1;47,5;27,6;63,3;74,1;12,11;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-11,19;8,32;0,85;-56,48427732;1678442,91;Extant
Topaza pyra;Trochilidae;Apodiformes;Topazes;4;2;2;0;4;30,4;22,2;2,9;3;5,3;75,8;49,5;26,2;65,4;70,5;12,11;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-9,59;4,68;-3,78;-68,64685847;2026785,18;Extant
Trochilus polytmus;Trochilidae;Apodiformes;Emeralds;5;2;3;0;4;22,4;17,7;2,5;1,9;5,7;59;37;20,8;64;43,2;4,84;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;17,7;18,53;18,16;-77,38019222;10224,99;Extant
Trochilus scitulus;Trochilidae;Apodiformes;Emeralds;5;0;5;0;4;23,2;18,2;2,5;1,6;6,7;65,2;43;22,5;65,7;39,2;4;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Nectarivore;Aerial;17,87;18,23;18,06;-76,41757264;796,79;Extant
Urochroa bougueri;Trochilidae;Apodiformes;Brilliants;9;1;4;4;8;32,8;26,2;2,8;2,6;7,4;76,4;48,4;28,2;63,2;45,3;11,4;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-6,09;6;1,23;-77,32877531;72915,8;Extant
Urosticte benjamini;Trochilidae;Apodiformes;Brilliants;5;2;3;0;4;20,7;18,4;1,9;1,6;5,1;50,6;32;18,8;63;36,4;3,9;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-0,18;5,56;2,65;-77,24671349;17377,94;Extant
Urosticte ruficrissa;Trochilidae;Apodiformes;Brilliants;4;2;2;0;4;23;19,8;1,6;1,9;5,8;57;37,8;19,2;66,2;39,2;4,3;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-6,51;2,06;-2,4;-77,96986129;31247,82;Extant
Caprimulgus aegyptius;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18,3;7,2;6,2;3,1;20,8;200,8;101,6;99,2;50,6;118,8;77,3;Dunning;NA;NO;NA;NA;Desert;3;3;Carnivore;Invertivore;Aerial;22,33;47,64;36,18;43,65218959;2808450,27;Extant
Caprimulgus affinis;Caprimulgidae;Caprimulgiformes;NA;5;2;3;0;4;20,6;7,3;5,3;3;17,8;159,6;70,6;85,2;45,3;94,4;58,7;Dunning;NA;NO;NA;NA;Grassland;3;2;Carnivore;Invertivore;Aerial;-10,94;34,89;17,18;94,41330723;4956065,32;Extant
Caprimulgus anthonyi;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;15;6,3;4,7;2,7;15,8;124;53;71;42,6;88;35,89;Dunning;NA;NO;NA;NA;Shrubland;2;2;Carnivore;Invertivore;Aerial;-7,16;1,23;-3,67;-80,06042128;57328,24;Extant
Caprimulgus asiaticus;Caprimulgidae;Caprimulgiformes;NA;5;3;1;1;4;12,8;5,4;3,6;2,4;21,1;147,4;66,8;79;45,8;102,8;42;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Aerial;5,92;33,3;20,73;83,76677789;4043903,95;Extant
Caprimulgus atripennis;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;19,9;7,7;5,6;3,8;17,6;184,2;86;98,2;46,7;132,2;61;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;5,92;22,98;14,86;80,45455673;487705,09;Extant
Caprimulgus badius;Caprimulgidae;Caprimulgiformes;NA;2;1;1;0;2;25,6;7,9;5,7;3,5;16,8;163;74;89;45,4;115;59,8;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Aerial;18,19;21,62;19,98;-88,89307148;110731,66;Extant
Caprimulgus batesi;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;20,1;6,2;4,6;3,2;18,2;185,5;83,8;101,8;45,1;144,5;100;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-5,44;4,73;-0,81;19,94870077;1859436,15;Extant
Caprimulgus binotatus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;13,6;6,3;4,3;2,6;10,6;148,8;69;79,8;46,4;99,2;63;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Aerial;-4,79;8,26;2,71;8,794211887;701719,54;Extant
Caprimulgus carolinensis;Caprimulgidae;Caprimulgiformes;NA;6;1;4;1;4;15,2;7,5;6,2;4;17,5;207,7;106,2;100,1;51,5;141,1;109;Dunning;NA;NO;NA;NA;Woodland;2;3;Carnivore;Invertivore;Aerial;24,95;42,41;33,91;-88,60172101;1808676,44;Extant
Caprimulgus cayennensis;Caprimulgidae;Caprimulgiformes;NA;5;1;1;3;4;17,5;5,8;4,5;2,7;16,5;136,4;67;68,6;49,4;102,3;35,5;Dunning;NA;NO;NA;NA;Grassland;3;2;Carnivore;Invertivore;Generalist;-0,05;14,88;6,88;-65,66210147;1530293,86;Extant
Caprimulgus celebensis;Caprimulgidae;Caprimulgiformes;NA;1;0;1;0;1;20;9,5;6,9;4,3;24,2;187;85,7;101,3;45,8;138;57,51;EltonTraits_GenAvg;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-5,7;1,76;-0,29;123,1631493;26078,5;Extant
Caprimulgus centralasicus;Caprimulgidae;Caprimulgiformes;NA;1;1;0;0;1;15,3;7;4,7;2,6;15,2;156;61;95;39,1;106;57,51;EltonTraits_GenAvg;NA;NO;NA;NA;Shrubland;2;NA;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
