Species3;Family3;Order3;Clade;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;Species.Status
Aegotheles albertisi;Aegothelidae;Apodiformes;NA;1;0;0;1;1;11,6;4,2;3,2;4;18,8;114;34;80;29,8;87;35,2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10,31;-0,99;-6,49;144,6432479;95188,1;Extant
Aegotheles archboldi;Aegothelidae;Apodiformes;NA;2;1;1;0;2;12,9;3,6;3,5;2,6;18,6;116,5;37;79,5;31,8;95,5;30,6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-5,37;-3,35;-4,19;138,5130191;44983,92;Extant
Aegotheles bennettii;Aegothelidae;Apodiformes;NA;7;4;3;0;7;16,5;5,9;4,8;4;19,8;127,5;39,6;87,8;31,1;114,9;60;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10,73;-0,79;-5,63;143,9752959;199259,89;Extant
Aegotheles crinifrons;Aegothelidae;Apodiformes;NA;5;2;0;3;3;23,3;8,2;8,4;6;24,9;164,6;45;119,5;27,4;144,1;136;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-0,92;2,23;0,71;127,9523141;20463,32;Extant
Aegotheles cristatus;Aegothelidae;Apodiformes;NA;5;2;3;0;4;14;5;4;3,7;23,7;135,8;47;88,8;34,6;121,2;42,78;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-43,64;-6,65;-25,68;134,5154299;7702773,06;Extant
Aegotheles insignis;Aegothelidae;Apodiformes;NA;4;2;2;0;4;19,5;6,1;3,9;4;21,3;165,2;50,2;115;30,4;137;78,5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10,22;-0,46;-5,27;141,8970304;168011,22;Extant
Aegotheles savesi;Aegothelidae;Apodiformes;NA;1;0;1;0;0;21,6;6,6;7,1;5;32,5;163;34;129;20,9;149;52;Inferred;NA;YES;Beak Depth;Aegotheles tatei;Forest;1;NA;Carnivore;Invertivore;Insessorial;-21,98;-21,93;-21,96;166,4845626;10,73;Extant
Aegotheles tatei;Aegothelidae;Apodiformes;NA;1;1;0;0;1;20;7,4;7,5;5;16,1;145,8;40,2;105,6;27,6;130,2;52;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10,44;-5,74;-6,95;143,2348745;3664,11;Extant
Aegotheles wallacii;Aegothelidae;Apodiformes;NA;3;2;1;0;3;17,5;5,4;3,8;3,9;18,5;119;35,7;83,3;30;102,7;50,73;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-7,15;-0,51;-4,45;139,7376876;40086,3;Extant
Aeronautes andecolus;Apodidae;Apodiformes;NA;5;2;0;3;4;7;3;2,4;2,1;8,6;140;98,2;41,5;70,3;62,2;17,6;Dunning;NA;NO;NA;NA;Shrubland;1;1;Carnivore;Invertivore;Aerial;-38,79;-5,96;-23,75;-68,87269007;891310,57;Extant
Aeronautes montivagus;Apodidae;Apodiformes;NA;4;3;1;0;4;6,5;3,1;2,4;2,6;8,1;115,2;79,1;36,1;68,6;46,2;20,14;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-23,09;11,02;-1,98;-69,62510491;842701,64;Extant
Aeronautes saxatalis;Apodidae;Apodiformes;NA;6;4;2;0;6;7;3;2,9;2,5;10,6;140,3;98,2;42,1;69,8;63,7;32,1;Dunning;NA;NO;NA;NA;Rock;1;1;Carnivore;Invertivore;Aerial;13,45;50,85;33,58;-109,2121584;4096268,29;Extant
Apus acuticauda;Apodidae;Apodiformes;NA;1;1;0;0;1;13;4,1;3,1;3;15,2;174;120,1;53,9;69;71;39,4;Inferred;NA;YES;Body Mass;Apus pacificus;Forest;1;3;Carnivore;Invertivore;Aerial;22,7;27,74;26,16;92,17978504;15660,49;Extant
Apus affinis;Apodidae;Apodiformes;NA;5;3;2;0;3;8,5;3,9;5,6;2,8;10,3;126,5;81,7;42,1;66;41,5;22,57;Dunning;NA;NO;NA;NA;Human Modified;1;3;Carnivore;Invertivore;Aerial;-34,84;39,15;2,45;29,51279805;22143832,39;Extant
Apus alexandri;Apodidae;Apodiformes;NA;4;2;2;0;4;8,7;3,1;2,9;2;8,7;137,5;96,7;40,8;70,3;54,2;41,9;Inferred;NA;YES;Body Mass;Apus pallidus;Rock;1;NA;Carnivore;Invertivore;Aerial;14,8;17,2;15,82;-24,32707507;2642,82;Extant
Apus apus;Apodidae;Apodiformes;NA;16;9;7;0;3;10,2;4,3;4;2,8;8,8;161,3;120,2;48,1;71,6;67,4;37,6;Dunning;NA;NO;NA;NA;Human Modified;1;3;Carnivore;Invertivore;Aerial;27,16;69,95;48,52;57,95146975;24779919,71;Extant
Apus balstoni;Apodidae;Apodiformes;NA;4;2;2;0;4;11,5;4,2;3,5;2,6;11;161,2;113,9;47,3;70,7;71,2;42,8;Dunning;NA;NO;NA;NA;Rock;1;2;Carnivore;Invertivore;Aerial;-25,61;-11,36;-19,36;46,68907663;592893,19;Extant
Apus barbatus;Apodidae;Apodiformes;NA;4;2;2;0;4;11,9;4,3;3,1;2,5;12,2;171;122,9;48,1;71,9;75,5;42,8;Dunning;NA;NO;NA;NA;Rock;1;2;Carnivore;Invertivore;Aerial;-34,84;9,4;-20,21;28,62525319;1200605,42;Extant
Apus batesi;Apodidae;Apodiformes;NA;4;2;2;0;3;8,4;2,8;3,1;1,9;9,5;123;79,9;43,1;65;59,7;22,1;Inferred;NA;YES;Body Mass;Apus caffer;Forest;1;2;Carnivore;Invertivore;Aerial;0,69;8,36;3,63;7,893600009;299260,21;Extant
Apus berliozi;Apodidae;Apodiformes;NA;4;2;2;0;4;10,8;4,6;3,8;2,7;13,6;170,2;119,1;51,2;70;72,8;38,2;Dunning;NA;NO;NA;NA;Rock;1;NA;Carnivore;Invertivore;Aerial;1,59;21,45;12,76;50,54564826;204574,56;Extant
Apus bradfieldi;Apodidae;Apodiformes;NA;5;2;2;1;4;11,8;4,1;3,9;2,6;12,9;176;124,5;51,8;70,7;73,6;42,4;Dunning;NA;NO;NA;NA;Desert;1;2;Carnivore;Invertivore;Aerial;-30,31;-14,22;-23,87;17,65198629;882341,76;Extant
Apus caffer;Apodidae;Apodiformes;NA;5;2;3;0;4;9;3;2,9;2;10,5;144,8;100;44,7;69,1;73,8;22,1;Dunning;NA;NO;NA;NA;Shrubland;1;3;Carnivore;Invertivore;Aerial;-34,84;40,51;-2,38;24,33342816;12490681,95;Extant
Apus horus;Apodidae;Apodiformes;NA;5;3;2;0;4;9,2;3,8;3;2,2;9,8;153,2;106;47,7;69;59,4;27,45;Dunning;NA;NO;NA;NA;Shrubland;1;2;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Apus niansae;Apodidae;Apodiformes;NA;4;2;2;0;4;9,6;3,1;2,8;2,5;12,4;154,8;109,1;45,7;70,5;66,8;32,5;Dunning;NA;NO;NA;NA;Rock;1;2;Carnivore;Invertivore;Aerial;-3,92;16,88;6,76;38,9148681;381006,41;Extant
Apus nipalensis;Apodidae;Apodiformes;NA;5;2;3;0;4;8,9;3,5;3,2;2,1;11,3;130;89;42,7;67,6;48;29,82;Dunning;NA;NO;NA;NA;Human Modified;1;3;Carnivore;Invertivore;Aerial;-10,37;37,11;16,15;106,1819273;5768014,18;Extant
Apus pacificus;Apodidae;Apodiformes;NA;5;2;2;1;4;8;4,6;4;2,8;12,9;173;118,8;52,5;69,4;71,8;39,43;Dunning;NA;NO;NA;NA;Woodland;1;2;Carnivore;Invertivore;Aerial;13,11;68,39;46,94;116,4857912;15859868,87;Extant
Apus pallidus;Apodidae;Apodiformes;NA;6;3;3;0;4;11,3;4,6;3,8;2,3;11,4;166,8;120,6;46,2;72,3;72;41,9;Dunning;NA;NO;NA;NA;Rock;1;3;Carnivore;Invertivore;Aerial;15,31;46,31;30,92;20,11114917;1720365,16;Extant
Apus sladeniae;Apodidae;Apodiformes;NA;3;0;3;0;3;12,8;4,7;3,5;3;13,6;177;127,1;49,9;71,8;78,3;42,8;Dunning;NA;NO;NA;NA;Rock;1;NA;Carnivore;Invertivore;Aerial;-13,33;6,7;-11,92;14,97595184;12587,31;Extant
Apus toulsoni;Apodidae;Apodiformes;NA;3;1;2;0;3;10,3;3,6;3,2;2,3;10,9;144,4;102,3;42,1;70,9;51,9;27,45;Dunning;NA;NO;NA;NA;Shrubland;1;2;Carnivore;Invertivore;Aerial;-16,68;-4,76;-10,72;12,49951467;31367,18;Extant
Apus unicolor;Apodidae;Apodiformes;NA;4;2;2;0;4;9,6;3,1;2,8;2,1;11,1;149,5;107,2;42,3;71,7;69,5;22,5;Dunning;NA;NO;NA;NA;Rock;1;2;Carnivore;Invertivore;Aerial;27,64;33,12;28,79;-15,80064871;8283,55;Extant
Chaetura brachyura;Apodidae;Apodiformes;NA;11;4;4;3;8;8,1;3,4;2,6;2,1;11,4;118,5;80,7;38,8;67,5;29,4;18,3;Dunning;NA;NO;NA;NA;Human Modified;1;1;Carnivore;Invertivore;Aerial;-19,02;13,38;-3,04;-64,08305047;7468188,25;Extant
Chaetura chapmani;Apodidae;Apodiformes;NA;6;0;4;2;5;8,7;3,5;3,3;2,4;11,3;120,2;81,4;38,8;67,7;40,7;23,83;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Aerial;-5,94;11,59;1,9;-59,84694119;2713559,42;Extant
Chaetura cinereiventris;Apodidae;Apodiformes;NA;5;0;0;5;4;8,1;2,9;3;2,2;10,8;104,4;70,1;34,4;67;41,4;13,9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-30,16;15,93;-6,25;-64,37932916;6102705,51;Extant
Chaetura egregia;Apodidae;Apodiformes;NA;4;3;1;0;4;8,9;3,7;4,1;2,6;13;116,8;74;42,7;63,2;43;23,4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-18,06;-0,15;-11,08;-64,9061859;1756675,46;Extant
Chaetura fumosa;Apodidae;Apodiformes;NA;4;0;4;0;2;5,1;2,5;1,6;1,9;9,6;106,2;72;34,2;67,8;35,2;15,69;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;8,03;9,51;8,71;-82,97560433;13071,58;Extant
Chaetura martinica;Apodidae;Apodiformes;NA;4;1;2;1;3;5,3;2,1;1,8;1,6;9,2;108,2;75;33,2;69,3;35,2;12,5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;13,12;16,52;15,11;-61,2737303;4342,26;Extant
Chaetura meridionalis;Apodidae;Apodiformes;NA;3;0;2;1;3;8,9;2,9;2,7;2,2;12,7;131,7;83,7;47,9;63,8;38,7;22,2;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Aerial;-32,34;-6,34;-19,32;-52,56310879;4926891,32;Extant
Chaetura pelagica;Apodidae;Apodiformes;NA;5;1;3;1;4;6,3;3,5;2,9;2,4;11,6;124,4;86,8;36,6;70,3;43,8;23,6;Dunning;NA;NO;NA;NA;Human Modified;1;3;Carnivore;Invertivore;Aerial;25,48;53,93;40,95;-88,87757781;5841319,17;Extant
Chaetura spinicaudus;Apodidae;Apodiformes;NA;9;4;4;1;8;7,9;3,5;3,1;2,1;10,3;103,7;67,1;36,3;64,9;40,7;15,69;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-10,45;11,36;1,2;-59,99700483;3138608,09;Extant
Chaetura vauxi;Apodidae;Apodiformes;NA;9;4;5;0;4;5,3;2,8;2,4;2,2;10,1;111,3;77,1;34,4;69,2;38,8;17,1;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Aerial;7,21;56,36;36,03;-109,1486586;2280008,55;Extant
Chaetura viridipennis;Apodidae;Apodiformes;NA;2;0;2;0;2;8,8;3,5;3,3;2,7;12,2;131;75;56;57,2;43;23,83;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Aerial;-14,52;7,91;-6,57;-68,68603352;1991130,27;Extant
Collocalia amelis;Apodidae;Apodiformes;NA;5;2;3;0;5;5,7;2,4;1,9;2,7;9,4;109;72,5;36,4;66,4;47,9;10,7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Collocalia bartschi;Apodidae;Apodiformes;NA;3;2;1;0;2;5,3;2,4;2;2,1;8,3;88,7;53,6;35,1;60,5;41,3;7,4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;13,24;15,29;13,78;144,9658617;692,22;Extant
Collocalia brevirostris;Apodidae;Apodiformes;NA;4;2;1;1;3;6,3;3,6;4,4;3;10,1;126;82,5;43,5;65,5;51,9;13,42;Dunning;NA;NO;NA;NA;Rock;1;1;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Collocalia elaphra;Apodidae;Apodiformes;NA;4;0;3;1;4;6,4;2,1;2,1;1,7;8,8;113;78,8;34,2;69,7;47,8;10,7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-4,8;-4,28;-4,58;55,54237137;205,22;Extant
Collocalia esculenta;Apodidae;Apodiformes;NA;47;3;2;42;4;7,1;2,5;1,7;1,6;8,1;99,5;66,4;30,8;68,3;41;6,29;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-22,71;18,65;-0,2;121,1318279;2754917,74;Extant
Collocalia francica;Apodidae;Apodiformes;NA;4;0;0;4;4;6,2;1,8;1,9;1,3;9,2;109;73,7;35,3;67,6;47;8,9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-21,37;-19,99;-20,77;56,39904803;4418,34;Extant
Collocalia fuciphaga;Apodidae;Apodiformes;NA;4;2;2;0;4;7;2,4;2,3;1,9;8,8;109,5;72,5;37;66,2;47,8;10,7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-10,94;13,57;-0,86;110,0242873;1418335,45;Extant
Collocalia germani;Apodidae;Apodiformes;NA;4;2;2;0;4;6,8;2,1;2,4;2;10,2;116,5;81,4;35,1;69,9;50;10,7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Collocalia hirundinacea;Apodidae;Apodiformes;NA;4;2;2;0;4;6,4;2;2,1;1,6;8,4;115;79,4;35,5;69,1;47,5;10,1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-10,7;-0,34;-4,76;140,7937661;583622,07;Extant
Collocalia infuscata;Apodidae;Apodiformes;NA;6;1;5;0;6;6,2;2,4;2,5;1,8;8,3;106,2;75,2;31;70,8;47,3;13,4;EltonTraits_GenAvg;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-5,71;3,74;-2,41;122,794161;182567,31;Extant
Collocalia inquieta;Apodidae;Apodiformes;NA;4;2;2;0;3;7,1;2,8;2;2,2;8,4;114,1;78,2;35,9;68,6;50,8;11;Updated_literature;Beehler & Finch (1985);NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;5,26;7,46;6,65;158,167807;543,53;Extant
Collocalia leucophaea;Apodidae;Apodiformes;NA;3;1;2;0;3;6,8;2;1,9;1,8;9,2;123,7;79,4;44,3;64,2;57,7;13,35;EltonTraits_GenAvg;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-17,69;-17,52;-17,61;-149,494371;109,95;Extant
Collocalia linchi;Apodidae;Apodiformes;NA;4;3;1;0;3;5,4;1,8;1,8;1,9;9,3;93,7;63;30,7;67,2;36;5,9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-9,01;6,2;-3,03;105,1263293;316140,08;Extant
Collocalia maxima;Apodidae;Apodiformes;NA;4;2;2;0;4;8,2;3,8;3;2,5;11,8;129,2;87,6;41,6;67,8;46,2;17;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-7,89;14,03;1,15;110,6958571;1057235;Extant
Collocalia mearnsi;Apodidae;Apodiformes;NA;4;2;2;0;4;6,2;1,9;2,1;1,8;8,9;109;74;35;67,9;46,5;11,3;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;5,56;18,65;11,8;122,7408656;254011,61;Extant
Collocalia nuditarsus;Apodidae;Apodiformes;NA;0;0;0;0;0;7,6;3,7;2,9;2,6;10,9;125,2;84,8;40,4;67,7;48,2;13,35;EltonTraits_GenAvg;NA;YES;"Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length";Collocalia orientalis;Forest;1;1;Carnivore;Invertivore;Aerial;-8,89;-3,16;-5,64;141,5356699;364845,78;Extant
Collocalia ocista;Apodidae;Apodiformes;NA;4;0;2;2;2;6,4;1,9;1,8;1,5;8,8;111;69,3;41,6;62,4;50,5;13,35;EltonTraits_GenAvg;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-10,03;-7,96;-9,29;-139,6382291;980,06;Extant
Collocalia orientalis;Apodidae;Apodiformes;NA;1;0;1;0;1;7,6;3,7;2,9;2,6;10,9;125,2;84,8;40,4;67,7;48,2;13,35;EltonTraits_GenAvg;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-9,89;-2,94;-6,51;155,9453996;4385,9;Extant
Collocalia palawanensis;Apodidae;Apodiformes;NA;4;2;2;0;4;7;2,5;2,5;1,9;9,6;128;85,6;42,4;66,8;52,5;10,7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Collocalia papuensis;Apodidae;Apodiformes;NA;4;2;2;0;4;8,5;3,8;3,3;2,5;11,1;132,5;93,3;39,2;70,4;50,9;19,9;Dunning;NA;NO;NA;NA;Rock;1;1;Carnivore;Invertivore;Aerial;-8,24;-2;-4,46;142,9580173;163508,74;Extant
Collocalia pelewensis;Apodidae;Apodiformes;NA;4;2;2;0;4;5,6;2,6;2,1;1,9;9;107,7;73,8;33,9;68,5;49,4;13,35;EltonTraits_GenAvg;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;6,89;7,73;7,44;134,5350682;454,45;Extant
Collocalia rogersi;Apodidae;Apodiformes;NA;3;2;1;0;3;6,9;2,3;2,1;1,8;9,6;118,7;76,8;41,8;64,8;51,3;13,42;Dunning;NA;NO;NA;NA;Rock;1;1;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Collocalia salangana;Apodidae;Apodiformes;NA;4;2;2;0;4;6,7;2,2;2,3;2,1;10,1;113,5;75,7;37,8;66,7;50,5;11,3;Dunning;NA;NO;NA;NA;Rock;1;1;Carnivore;Invertivore;Aerial;-8,78;7,04;0,08;112,1455427;483061,54;Extant
Collocalia sawtelli;Apodidae;Apodiformes;NA;1;0;1;0;1;6,9;2,5;1,7;1,7;8,5;116;78,1;37,9;67,3;54;8,6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-20,03;-19,97;-20;-158,1070721;26,52;Extant
Collocalia spodiopygia;Apodidae;Apodiformes;NA;4;1;3;0;4;6,6;2,2;2;1,6;7,9;117;78,7;38,3;67,3;50,2;8,03;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-22,71;-1,32;-11,02;152,5433387;136466,16;Extant
Collocalia terraereginae;Apodidae;Apodiformes;NA;4;2;2;0;4;6,6;2,2;2;1,8;8,7;111,2;74,6;36,6;67,1;50,2;12;Dunning;NA;NO;NA;NA;Grassland;1;1;Carnivore;Invertivore;Aerial;-20,78;-11,49;-16,99;145,0783284;85667,06;Extant
Collocalia troglodytes;Apodidae;Apodiformes;NA;4;2;2;0;4;5,8;1,6;1,6;1,5;8,8;92,8;63,7;29,1;68,6;38,5;5,4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;5,56;18,65;11,79;122,9309713;283053,11;Extant
Collocalia unicolor;Apodidae;Apodiformes;NA;5;2;3;0;4;6,6;2,3;2,3;1,8;9,9;113,4;76,8;36,2;68;52,2;11;Dunning;NA;NO;NA;NA;Rock;1;1;Carnivore;Invertivore;Aerial;5,92;18,12;11,43;77,08049684;248834,49;Extant
Collocalia vanikorensis;Apodidae;Apodiformes;NA;5;2;2;1;5;6,5;2,3;1,9;1,8;9,4;113,5;78,3;35,2;68,9;51,8;10,7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Collocalia vulcanorum;Apodidae;Apodiformes;NA;2;1;1;0;2;7,1;2,4;2,2;2;9,4;120;79,9;40,1;66,6;53,5;13,42;Dunning;NA;NO;NA;NA;Rock;1;1;Carnivore;Invertivore;Aerial;-7,55;-6,23;-7,04;107,4091858;7990,54;Extant
Collocalia whiteheadi;Apodidae;Apodiformes;NA;1;0;1;0;1;8,7;3;2,9;2,2;10,7;136;94,1;41,9;69,2;50;14;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;5,91;17,83;13,11;122,4298014;11703,85;Extant
Cypseloides cherriei;Apodidae;Apodiformes;NA;5;2;2;1;4;7,1;3,5;3,3;2,6;12,7;124,8;84,1;40,7;67,4;44,7;22,1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-0,93;10,15;3,35;-75,72942977;111074,69;Extant
Cypseloides cryptus;Apodidae;Apodiformes;NA;4;1;2;1;4;8,6;3,7;3,7;2,4;16;137,2;93,1;44,1;67,8;44,8;34,54;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-14,24;17,17;8,33;-74,91808077;413124;Extant
Cypseloides fumigatus;Apodidae;Apodiformes;NA;4;0;1;3;4;8,6;3,9;3,2;2,4;13,5;145,2;101,2;44;69,7;44;41,95;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Aerial;-33,03;-9,56;-19,46;-47,32183907;2325060,02;Extant
Cypseloides lemosi;Apodidae;Apodiformes;NA;2;0;2;0;2;8,9;4,7;3,3;3;13,3;150,2;108,8;41,4;72,4;54;28,1;Dunning;NA;NO;NA;NA;Human Modified;1;1;Carnivore;Invertivore;Aerial;-0,98;3,53;2,5;-76,69225772;3577,91;Extant
Cypseloides niger;Apodidae;Apodiformes;NA;5;2;3;0;4;9;3,7;3,4;2,4;12,5;149,4;105,2;39,3;73;59,4;39,67;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Aerial;8,88;57,94;32,36;-105,2699436;1303249,37;Extant
Cypseloides rothschildi;Apodidae;Apodiformes;NA;6;2;3;1;5;7,3;4,3;3,5;2,7;14,1;153,2;90,6;62,6;59,1;60,8;41,95;Inferred;NA;YES;Body Mass;Cypseloides fumigatus;Forest;1;1;Carnivore;Invertivore;Aerial;-28,81;-17,89;-23,54;-64,66378212;166600,94;Extant
Cypseloides senex;Apodidae;Apodiformes;NA;4;2;2;0;4;7,8;4,8;4,5;2,9;22,6;168,8;103,8;65;61,5;55,8;82,25;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-26,93;-8,54;-17,5;-51,71358869;2015575,96;Extant
Cypseloides storeri;Apodidae;Apodiformes;NA;0;0;0;0;0;8,6;3,7;3,7;2,4;16;137,2;93,1;44,1;67,8;44,8;39,5;Dunning;NA;YES;"Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length";Cypseloides cryptus;Forest;1;1;Carnivore;Invertivore;Aerial;17,16;20;18,67;-101,2719468;84466,8;Extant
Cypsiurus balasiensis;Apodidae;Apodiformes;NA;5;2;3;0;4;6,5;2,5;3,5;2,1;9,1;114,7;78,1;36,3;68,3;59,9;9,11;Dunning;NA;NO;NA;NA;Human Modified;1;1;Carnivore;Invertivore;Aerial;-8,85;29,84;15,1;95,80807182;6838834,25;Extant
Cypsiurus parvus;Apodidae;Apodiformes;NA;5;2;3;0;5;6,8;2,6;2,7;1,6;9,8;133,6;98,1;35,5;73,3;94,1;13,6;Dunning;NA;NO;NA;NA;Shrubland;1;1;Carnivore;Invertivore;Aerial;-30,38;20,1;-2,54;22,42516291;16348757,49;Extant
Hirundapus caudacutus;Apodidae;Apodiformes;NA;4;2;2;0;4;12,9;5;3,5;2,8;18,5;206;148,8;57,2;72,2;49,8;95,5;Dunning;NA;NO;NA;NA;Woodland;1;3;Carnivore;Invertivore;Aerial;26,67;60,83;46,53;112,910362;6143488,25;Extant
Hirundapus celebensis;Apodidae;Apodiformes;NA;2;1;1;0;2;15,6;6,8;5,2;4,1;18,9;213,7;151,6;62;70,9;60;180;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;0,21;19,4;10,51;122,9167433;285896,08;Extant
Hirundapus cochinchinensis;Apodidae;Apodiformes;NA;5;2;3;0;4;11,8;6,3;5,6;3,8;16,3;183,2;124;58;68,1;52,4;83,79;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Aerial;18,16;28,61;25,16;98,59466012;236469,43;Extant
Hirundapus giganteus;Apodidae;Apodiformes;NA;7;1;2;4;6;10,1;7;5,6;4,1;17,8;203,1;130,4;73,1;64,1;61,7;127;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Aerial;-8,85;27,36;7,87;102,5579783;2715789,43;Extant
Hydrochous gigas;Apodidae;Apodiformes;NA;1;0;1;0;1;7,4;3,9;3,1;3,3;13,5;146;101,3;44,7;69,4;58,2;35,8;Dunning;NA;NO;NA;NA;Riverine;1;1;Carnivore;Invertivore;Aerial;-7,39;6,34;1,43;101,0668089;97277,3;Extant
Mearnsia novaeguineae;Apodidae;Apodiformes;NA;4;2;2;0;4;6,7;3;2,4;2,2;10,7;130;90;40;69,2;29,8;32,6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-10,76;-1,47;-5,85;141,2790304;480409,55;Extant
Mearnsia picina;Apodidae;Apodiformes;NA;2;0;2;0;0;6,7;3;2,9;3,2;12,6;161,5;115,6;46;71,4;26,1;42,5;Dunning;NA;YES;"Beak Culmen; Beak Nares";Mearnsia novaeguineae;Forest;1;1;Carnivore;Invertivore;Aerial;5,56;12,59;8,44;124,6705993;112656,13;Extant
Neafrapus boehmi;Apodidae;Apodiformes;NA;4;2;2;0;4;6,2;2,6;1,9;1,6;9;119,8;77,2;42,5;64,5;21,5;14,42;Dunning;NA;NO;NA;NA;Woodland;1;2;Carnivore;Invertivore;Aerial;-24,88;0,27;-11,94;32,31150716;1674288,3;Extant
Neafrapus cassini;Apodidae;Apodiformes;NA;5;3;2;0;4;8,7;4;2,6;2,5;13,7;156;108,2;45,2;70,5;25,2;39,97;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Aerial;-5,9;8,77;1,74;15,32310363;2065483,42;Extant
